index,before_pt,after_pt,before_area,after_area
45,4,3,18588,18516,0.387347
45,42,9,19699,19384,1.599066
45,2,2,17805,17615,1.067116
45,2,2,16946,16811,0.796648
45,153,30,10,10,0.000000
45,170,34,41,41,0.000000
45,172,36,3221,3240,0.589879
45,109,32,56,62,10.714286
45,160,52,4,4,0.000000
45,2,2,0,0,0.000000
45,1,1,0,0,0.000000
45,7,4,0,0,0.000000
46,63,16,19484,19399,0.436255
46,144,38,7740,7725,0.193798
46,137,33,18038,17971,0.371438
46,136,37,21624,21664,0.184980
46,70,20,23009,23044,0.152114
46,143,32,9817,9771,0.468575
47,80,20,5126,5067,1.150995
47,29,9,18389,18426,0.201207
48,41,11,5164,5059,2.033308
49,28,8,13529,13494,0.258704
49,120,27,19849,19750,0.498766
49,164,31,20413,20222,0.935678
49,3,3,19543,19345,1.013150
49,181,36,15255,15150,0.688299
49,164,29,2298,2264,1.479547
49,104,23,0,0,0.000000
50,24,10,13715,13636,0.576012
50,83,25,924,965,4.437230
51,55,14,11511,11691,1.563722
51,119,30,17938,17826,0.624373
51,139,33,16896,16898,0.011837
51,155,31,14756,14727,0.196530
51,166,38,15852,15792,0.378501
51,176,32,16625,16578,0.282707
51,99,23,4457,4450,0.157056
52,65,25,24,18,25.000000
52,1,1,4008,3866,3.542914
52,3,2,1,1,0.000000
52,2,2,525,524,0.190476
52,7,4,3,3,0.000000
52,1,1,46,35,23.913044
52,58,33,19,9,52.631580
52,2,2,95,77,18.947369
52,6,4,39730,39721,0.022653
52,9,4,9,3,66.666664
52,1,1,119,110,7.563025
52,253,98,94,76,19.148935
52,1,1,63,3,95.238098
52,1,1,259,40,84.555984
52,4,3,220,256,16.363636
52,1,1,1,216,21500.000000
52,1,1,1,1,0.000000
52,17,8,43066,1,99.997681
52,22,13,1,43074,4307300.000000
52,1,1,73,1,98.630135
52,6,3,1990,70,96.482414
52,2,2,28,1867,6567.856934
52,11,6,10299,1,99.990288
52,16,6,0,23,0.000000
52,4,2,0,10233,0.000000
52,336,119,0,0,0.000000
52,2,2,0,0,0.000000
